Word,Frequency
read,536
summari,46
movi,4489
someth,930
like,2872
happen,570
man,617
get,1915
power,188
god,241
later,250
learn,155
supernatur,38
requir,79
giant,62
respons,81
strength,24
though,658
clever,95
origin,661
concept,104
cast,595
promis,133
carrey,4
freeman,5
aniston,11
good,2103
idea,522
actor,1003
mention,238
cost,141
film,3720
bad,2020
script,670
stori,1446
terribl,500
bruce,34
nolan,1
let,484
honest,190
pretti,655
mediocr,112
journalist,14
exact,217
great,857
cooki,9
faux,9
pas,3
niagara,1
report,76
complet,586
fiasco,18
hes,321
job,254
deserv,233
comedian,34
consid,267
potenti,164
nice,296
home,238
sugar,12
sweet,52
girlfriend,109
oh,339
horror,611
dog,100
hous,285
train,93
yes,229
soon,163
begin,425
start,696
address,24
hate,259
manner,65
averag,145
viewer,304
must,520
think,1304
what,163
wrong,375
life,712
definit,259
real,646
problem,352
troubl,110
minor,63
realli,1709
worth,475
fuss,8
make,2102
result,182
stupid,465
peopl,1306
big,508
attent,156
seem,1118
human,220
look,1467
even,2045
realist,61
goofi,35
neurot,10
still,751
morgan,18
ca,692
help,337
ask,232
particular,247
give,899
could,1603
easili,135
5,196
year,830
old,625
kid,427
hard,556
would,1928
differ,339
wait,247
smart,59
probabl,474
use,692
better,1105
pull,134
moon,37
closer,28
earth,152
creat,191
romant,80
atmospher,107
part,714
red,90
soup,10
lift,32
woman,358
dress,85
street,116
answer,92
prayer,8
via,24
email,13
come,960
true,269
pleas,264
actual,863
end,1356
world,424
famili,335
littl,908
sens,414
hint,41
sarcasm,7
humor,213
witti,31
dirti,32
least,658
noth,913
play,941
silli,210
pathet,146
middl,139
age,169
underst,6
pale,16
undevelop,6
charact,1507
grace,71
stay,233
forgett,54
nobodi,78
right,507
mind,349
believ,650
two,862
chemistri,58
say,1306
sound,337
lame,221
fals,34
meant,107
togeth,286
three,314
star,612
doubt,143
one,3218
dialog,172
lack,385
sophist,18
well,1154
role,446
total,407
bold,14
ok,240
funni,610
moment,357
alway,386
see,1940
leav,353
notexact,58
nothous,1
notrealli,218
notseem,110
notlook,47
nothelp,106
nothappen,27
notmake,189
notmeant,10
caught,77
fx,22
last,484
night,379
sit,257
watch,2326
occur,53
quit,537
possibl,345
worst,908
ever,1167
act,1534
cinematographi,137
unbeliev,157
fight,196
sequenc,197
made,1360
laughabl,158
seen,1139
enthral,2
sheer,39
