Word,Frequency
anoth,618
one,3291
babe,28
bullet,25
crowd,61
stori,1821
much,1273
edgier,3
music,661
seen,1208
cannon,13
hidden,52
miss,419
leg,22
femal,132
place,478
generat,92
way,1280
come,967
closer,35
intellig,177
comment,302
might,371
expect,484
local,153
effect,451
contemporari,44
drama,312
hard,457
identifi,44
woman,358
keep,453
pant,13
lue,1
leggag,1
pretti,469
remark,116
consid,267
context,30
wo,206
see,2127
good,2078
qualiti,207
movi,3953
essenc,44
made,1197
hollywood,324
extinct,4
cheap,69
crap,49
pump,5
thrill,100
laughabl,18
true,455
film,4037
great,1888
entireti,12
end,1301
brilliant,355
unblat,1
ripoff,12
certain,423
sergio,7
leon,25
pictur,336
involv,253
appropri,74
notsee,74
notunblat,1
yet,459
remak,100
fist,22
dollar,33
kurosawa,17
yojimbo,2
suggest,132
novel,142
red,107
harvest,5
bmovi,24
fill,132
action,484
silli,96
entertain,600
level,176
anyth,358
notexpect,77
nowher,32
rather,384
simpl,223
adapt,125
right,528
eastwood,21
spaghetti,4
western,136
mysteri,201
stranger,44
lawless,4
town,207
run,340
kingpin,4
start,524
shoot,115
even,1427
open,301
credit,183
feel,768
ennio,2
morricon,4
would,1561
proud,54
realli,1485
interest,757
twist,211
beauti,694
saki,1
ryoko,1
yonekura,1
harley,4
locat,115
somewher,49
japan,44
id,216
high,688
recommend,713
your,266
fan,671
ador,58
andor,32
girl,484
gun,82
hold,178
repeat,86
view,453
there,313
someth,627
emin,10
inexplic,8
appeal,142
like,2545
la,86
femm,23
nikita,2
long,522
kiss,42
goodnight,10
gorgeous,69
gal,18
star,707
well,1583
gob,2
ice,58
cake,12
taken,147
serious,273
littl,958
nonetheless,38
work,1006
everyon,417
scriptwrit,5
director,735
cast,734
love,1616
fun,536
becom,471
believ,516
sentiment,76
reason,366
televis,173
cloudi,3
cold,86
wintri,2
day,677
want,868
sit,157
back,731
enjoy,1023
everi,653
scene,1096
put,478
togeth,375
perfectlythi,1
wonder,783
crew,85
mean,352
bad,604
robert,206
downey,11
jr,58
itnon,1
ever,938
exist,129
abil,84
brighten,3
amaz,466
talentthi,1
perfect,518
saw,711
alon,156
